,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-07-22,40.78875000000001,Opfikon_Balsberg,34.138667774022416,31.13832393173353,22.96276842274343,4,high traffic,2016
2016-07-23,33.28125000000001,Opfikon_Balsberg,27.81525655111842,29.641603945007397,17.971219102693475,5,high traffic,2016
2016-07-24,25.180909090909093,Opfikon_Balsberg,28.427884797403934,34.047916391217875,19.791151665929448,6,high traffic,2016
2016-07-25,35.20583333333333,Opfikon_Balsberg,31.884753705832956,31.884753705832956,20.908305456714984,0,high traffic,2016
2016-07-26,32.55625,Opfikon_Balsberg,32.9056019061908,31.30902759108741,23.77544974059949,1,high traffic,2016
2016-07-27,32.34583333333333,Opfikon_Balsberg,32.661276569518456,30.521426477031625,23.06333845077635,2,high traffic,2016
2016-07-28,34.962727272727264,Opfikon_Balsberg,34.26337716218927,31.38707384160894,25.802290069654124,3,high traffic,2016
2016-07-29,34.65625,Opfikon_Balsberg,34.51209526731313,31.47893201662048,23.303376507630382,4,high traffic,2016
2016-07-30,28.812500000000004,Opfikon_Balsberg,30.37557202132776,32.37002951256409,20.699644670250166,5,high traffic,2016
2016-07-31,33.992916666666666,Opfikon_Balsberg,27.7320658157381,33.214537943260176,18.95777321797175,6,high traffic,2016
2016-08-01,20.83909090909091,Opfikon_Balsberg,32.37848875710636,32.37848875710636,21.40204050798839,0,high traffic,2016
2016-08-02,30.800416666666663,Opfikon_Balsberg,34.37887255954588,32.71081539811595,25.177237547628028,1,high traffic,2016
2016-08-03,32.03041666666666,Opfikon_Balsberg,32.586297326445994,30.451359605950543,22.993271579695268,2,high traffic,2016
2016-08-04,39.61416666666667,Opfikon_Balsberg,30.764781629396207,28.182174458518396,22.59739068656358,3,high traffic,2016
2016-08-05,36.16652173913044,Opfikon_Balsberg,32.68266455598718,29.810284415108733,21.63472890611863,4,high traffic,2016
2016-08-06,23.73434782608695,Opfikon_Balsberg,27.652896086043462,29.46858290552013,17.798198063206208,5,high traffic,2016
2016-08-07,14.940000000000005,Opfikon_Balsberg,15.858943353851693,18.994166509859816,4.737401784571388,6,high traffic,2016
2016-08-08,33.946666666666665,Opfikon_Balsberg,33.357504124296746,33.357504124296746,22.381055875178774,0,high traffic,2016
2016-08-09,26.26458333333333,Opfikon_Balsberg,29.628424159893562,28.19085796233449,20.65728011184657,1,high traffic,2016
2016-08-10,36.63818181818182,Opfikon_Balsberg,33.15863779974503,30.986202377280826,23.52811435102555,2,high traffic,2016
2016-08-11,37.102916666666665,Opfikon_Balsberg,34.5744935186765,31.672072953289398,26.08728918133458,3,high traffic,2016
2016-08-12,35.666666666666664,Opfikon_Balsberg,36.4734418350665,33.267901790525116,25.092346281535015,4,high traffic,2016
2016-08-13,23.65916666666667,Opfikon_Balsberg,29.114038071901895,31.025663350657933,19.35527850834401,5,high traffic,2016
2016-08-14,33.05318181818182,Opfikon_Balsberg,29.27516340946821,35.062697179490435,20.805932454202008,6,high traffic,2016
2016-08-15,32.67083333333333,Opfikon_Balsberg,27.024894204603978,27.024894204603978,16.048445955486006,0,high traffic,2016
2016-08-16,44.10750000000001,Opfikon_Balsberg,36.741528763818025,34.95883591750033,27.42525806701241,1,high traffic,2016
2016-08-17,38.9925,Opfikon_Balsberg,35.29928946516115,32.98660619737856,25.528518171123288,2,high traffic,2016
2016-08-18,34.20476190476191,Opfikon_Balsberg,31.793460295852892,29.12449876912353,23.539714997168712,3,high traffic,2016
